"filename", "language", "pip requirements", "Python", "c", "cpp", "bash", "Excel", "comment", "blank", "total"
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/art/__init__.py", "Python", 0, 11, 0, 0, 0, 0, 0, 1, 12
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/art/__main__.py", "Python", 0, 119, 0, 0, 0, 0, 0, 6, 125
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/art/art.py", "Python", 0, 535, 0, 0, 0, 0, 0, 71, 606
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/art/art_dic.py", "Python", 0, 714, 0, 0, 0, 0, 0, 1, 715
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/art/art_param.py", "Python", 0, 1726, 0, 0, 0, 0, 0, 17, 1743
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/art/decor_dic.py", "Python", 0, 221, 0, 0, 0, 0, 0, 1, 222
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/art/test.py", "Python", 0, 4712, 0, 0, 0, 0, 0, 2, 4714
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/art/test2.py", "Python", 0, 3033, 0, 0, 0, 0, 0, 2, 3035
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/art/text_dic1.py", "Python", 0, 15519, 0, 0, 0, 0, 0, 171, 15690
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/art/text_dic2.py", "Python", 0, 14061, 0, 0, 0, 0, 0, 164, 14225
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/art/text_dic3.py", "Python", 0, 28802, 0, 0, 0, 0, 0, 252, 29054
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/colorama/__init__.py", "Python", 0, 5, 0, 0, 0, 0, 0, 2, 7
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/colorama/ansi.py", "Python", 0, 83, 0, 0, 0, 0, 0, 20, 103
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/colorama/ansitowin32.py", "Python", 0, 225, 0, 0, 0, 0, 0, 42, 267
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/colorama/initialise.py", "Python", 0, 58, 0, 0, 0, 0, 0, 23, 81
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/colorama/win32.py", "Python", 0, 133, 0, 0, 0, 0, 0, 20, 153
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/colorama/winterm.py", "Python", 0, 151, 0, 0, 0, 0, 0, 19, 170
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/__init__.py", "Python", 0, 30, 0, 0, 0, 0, 0, 9, 39
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/__main__.py", "Python", 0, 33, 0, 0, 0, 0, 0, 7, 40
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/__init__.py", "Python", 0, 102, 0, 0, 0, 0, 0, 25, 127
